"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v6","逆光","module_c_full","03","0.972973","0.977553","37","37","50","0.782609","0.945946","0.961599","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_full_逆光_20260828_191632\result_summary_iter03.json"
"v6","逆光","module_c_no_classification_feedback","01","0.972973","0.977553","55","55","60","0.891304","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\result_summary_iter01.json"
"v6","逆光","module_c_no_classification_feedback","02","0.972973","0.980247","31","31","44","0.706522","0.945946","0.961599","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\result_summary_iter02.json"
"v6","逆光","module_c_no_classification_feedback","03","0.972973","0.977553","38","38","60","0.858696","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_逆光_20260828_222304\result_summary_iter03.json"
"v6","逆光","module_c_no_cycle","01","1","1","52","52","60","0.918478","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter01.json"
"v6","逆光","module_c_no_cycle","02","0.945946","0.961599","26","26","43","0.701087","0.918919","0.929853","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter02.json"
"v6","逆光","module_c_no_cycle","03","0.972973","0.984046","40","40","60","0.836957","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter03.json"
"v6","逆光","module_c_no_identity","01","0.972973","0.977553","43","43","51","0.842391","0.945946","0.9578","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter01.json"
"v6","逆光","module_c_no_identity","02","0.945946","0.961599","30","30","42","0.706522","0.918919","0.929853","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter02.json"
"v6","逆光","module_c_no_identity","03","0.972973","0.984046","36","39","53","0.869565","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_identity_逆光_20260828_203202\result_summary_iter03.json"
"v6","逆光","module_c_no_module_c","01","0.972973","0.977553","53","53","60","0.902174","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_逆光_20260828_230139\result_summary_iter01.json"
"v6","逆光","module_c_no_module_c","02","0.945946","0.961599","25","25","42","0.679348","0.945946","0.961599","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_逆光_20260828_230139\result_summary_iter02.json"
"v6","逆光","module_c_no_module_c","03","0.945946","0.961599","27","27","55","0.73913","0.945946","0.961599","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_module_c_逆光_20260828_230139\result_summary_iter03.json"
"v6","逆光","module_c_no_paired_contrastive","01","0.945946","0.9578","34","34","51","0.847826","0.945946","0.9578","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_逆光_20260828_210854\result_summary_iter01.json"
"v6","逆光","module_c_no_paired_contrastive","02","0.945946","0.961599","26","26","43","0.701087","0.918919","0.929853","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_逆光_20260828_210854\result_summary_iter02.json"
"v6","逆光","module_c_no_paired_contrastive","03","0.972973","0.984046","35","39","52","0.847826","0.972973","0.977553","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_paired_contrastive_逆光_20260828_210854\result_summary_iter03.json"
"v6","逆光","module_c_no_prototype_contrastive","01","0.945946","0.9578","34","34","51","0.831522","0.945946","0.9578","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_逆光_20260828_214511\result_summary_iter01.json"
"v6","逆光","module_c_no_prototype_contrastive","02","0.945946","0.961599","26","26","43","0.684783","0.918919","0.929853","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_逆光_20260828_214511\result_summary_iter02.json"
"v6","逆光","module_c_no_prototype_contrastive","03","0.972973","0.980247","36","40","50","0.777174","0.945946","0.961599","D:\Code\Dual_D\runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_prototype_contrastive_逆光_20260828_214511\result_summary_iter03.json"
